TIME = 2019-04-07T19:01:03.000Z	 LON = -77.063591667	 LAT = 38.851258333	 ALT = 102.9	 SPEED = 4.6G (raw) -0.34,-0.40,0.85
TIME = 2019-04-07T19:01:04.000Z	 LON = -77.063598333	 LAT = 38.851213333	 ALT = 102.5	 SPEED = 4.8G (raw) -0.37,-0.53,0.94
TIME = 2019-04-07T19:01:05.000Z	 LON = -77.063605	 LAT = 38.851161667	 ALT = 102.1	 SPEED = 5.6G (raw) -0.39,-0.44,0.80
TIME = 2019-04-07T19:01:06.000Z	 LON = -77.063621667	 LAT = 38.85111	 ALT = 101.7	 SPEED = 5.6G (raw) -0.26,-0.31,0.69
TIME = 2019-04-07T19:01:07.000Z	 LON = -77.063628333	 LAT = 38.851043333	 ALT = 101.3	 SPEED = 6.2G (raw) -0.29,-0.29,0.77
TIME = 2019-04-07T19:01:08.000Z	 LON = -77.063628333	 LAT = 38.850978333	 ALT = 100.9	 SPEED = 6.0G (raw) -0.47,-0.45,1.06
TIME = 2019-04-07T19:01:09.000Z	 LON = -77.063635	 LAT = 38.850918333	 ALT = 100.5	 SPEED = 5.9G (raw) -0.15,-0.32,1.02
TIME = 2019-04-07T19:01:10.000Z	 LON = -77.063648333	 LAT = 38.850863333	 ALT = 100.0	 SPEED = 5.6G (raw) -0.38,-0.29,0.86
TIME = 2019-04-07T19:01:11.000Z	 LON = -77.063671667	 LAT = 38.850816667	 ALT = 99.5	 SPEED = 4.9G (raw) -0.40,-0.28,0.82
TIME = 2019-04-07T19:01:12.000Z	 LON = -77.063696667	 LAT = 38.850778333	 ALT = 99.1	 SPEED = 4.4G (raw) -0.39,-0.35,0.90
TIME = 2019-04-07T19:01:13.000Z	 LON = -77.063755	 LAT = 38.850746667	 ALT = 98.5	 SPEED = 3.8G (raw) -0.28,-0.25,0.85
TIME = 2019-04-07T19:01:14.000Z	 LON = -77.063795	 LAT = 38.850721667	 ALT = 97.9	 SPEED = 3.3G (raw) -0.41,-0.25,0.77
TIME = 2019-04-07T19:01:15.000Z	 LON = -77.063831667	 LAT = 38.850701667	 ALT = 97.2	 SPEED = 2.9G (raw) -0.29,-0.22,0.88
TIME = 2019-04-07T19:01:16.000Z	 LON = -77.063856667	 LAT = 38.850686667	 ALT = 96.2	 SPEED = 2.2G (raw) -0.48,-0.32,0.82
TIME = 2019-04-07T19:01:17.000Z	 LON = -77.063885	 LAT = 38.850678333	 ALT = 95.1	 SPEED = 1.5G (raw) -0.54,-0.40,0.74
TIME = 2019-04-07T19:01:18.000Z	 LON = -77.063903333	 LAT = 38.85066	 ALT = 94.1	 SPEED = 2.3G (raw) -0.49,-0.36,0.79
TIME = 2019-04-07T19:01:19.000Z	 LON = -77.063921667	 LAT = 38.850633333	 ALT = 93.1	 SPEED = 3.5G (raw) -0.31,-0.38,0.80
TIME = 2019-04-07T19:01:20.000Z	 LON = -77.063926667	 LAT = 38.8506	 ALT = 92.2	 SPEED = 4.0G (raw) -0.37,-0.42,0.75
TIME = 2019-04-07T19:01:21.000Z	 LON = -77.063923333	 LAT = 38.85056	 ALT = 91.4	 SPEED = 4.3G (raw) -0.32,-0.39,0.71
TIME = 2019-04-07T19:01:22.000Z	 LON = -77.063911667	 LAT = 38.850515	 ALT = 90.8	 SPEED = 5.0G (raw) -0.26,-0.27,0.77
